Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
P17039	ZNF30_HUMAN	reviewed	Zinc finger protein 30 (Zinc finger protein KOX28)	ZNF30 KOX28	Homo sapiens (Human)	623	TFs
Q8N587	ZN561_HUMAN	reviewed	Zinc finger protein 561	ZNF561	Homo sapiens (Human)	486	TFs
Q7Z7K2	ZN467_HUMAN	reviewed	Zinc finger protein 467	ZNF467	Homo sapiens (Human)	595	TFs
Q8NDP4	ZN439_HUMAN	reviewed	Zinc finger protein 439	ZNF439	Homo sapiens (Human)	499	TFs
Q8IYI8	ZN440_HUMAN	reviewed	Zinc finger protein 440	ZNF440	Homo sapiens (Human)	595	TFs
Q96T92	INSM2_HUMAN	reviewed	Insulinoma-associated protein 2 (Zinc finger protein IA-6)	INSM2 IA6 Nbla106	Homo sapiens (Human)	566	TFs
Q8IVC4	ZN584_HUMAN	reviewed	Zinc finger protein 584	ZNF584	Homo sapiens (Human)	421	TFs
O14901	KLF11_HUMAN	reviewed	Krueppel-like factor 11 (Transforming growth factor-beta-inducible early growth response protein 2) (TGFB-inducible early growth response protein 2) (TIEG-2)	KLF11 FKLF TIEG2	Homo sapiens (Human)	512	TFs
Q16600	ZN239_HUMAN	reviewed	Zinc finger protein 239 (Zinc finger protein HOK-2) (Zinc finger protein MOK-2)	ZNF239 HOK2 MOK2	Homo sapiens (Human)	458	TFs
Q8TF32	ZN431_HUMAN	reviewed	Zinc finger protein 431	ZNF431 KIAA1969	Homo sapiens (Human)	576	TFs
Q9BX82	ZN471_HUMAN	reviewed	Zinc finger protein 471 (EZFIT-related protein 1)	ZNF471 ERP1 KIAA1396	Homo sapiens (Human)	626	TFs
Q8NEM1	ZN680_HUMAN	reviewed	Zinc finger protein 680	ZNF680	Homo sapiens (Human)	530	TFs
O75840	KLF7_HUMAN	reviewed	Krueppel-like factor 7 (Ubiquitous krueppel-like factor)	KLF7 UKLF	Homo sapiens (Human)	302	TFs
Q9H9D4	ZN408_HUMAN	reviewed	Zinc finger protein 408 (PR domain zinc finger protein 17)	ZNF408 PFM14 PRDM17	Homo sapiens (Human)	720	TFs
Q8NBF1	GLIS1_HUMAN	reviewed	Zinc finger protein GLIS1 (GLI-similar 1)	GLIS1	Homo sapiens (Human)	620	TFs
P51504	ZNF80_HUMAN	reviewed	Zinc finger protein 80 (ZNFpT17)	ZNF80	Homo sapiens (Human)	273	TFs
Q8TC21	ZN596_HUMAN	reviewed	Zinc finger protein 596	ZNF596	Homo sapiens (Human)	504	TFs
Q02447	SP3_HUMAN	reviewed	Transcription factor Sp3 (SPR-2)	SP3	Homo sapiens (Human)	781	TFs
Q9P2J8	ZN624_HUMAN	reviewed	Zinc finger protein 624	ZNF624 KIAA1349	Homo sapiens (Human)	865	TFs
Q8TD94	KLF14_HUMAN	reviewed	Krueppel-like factor 14 (Basic transcription element-binding protein 5) (BTE-binding protein 5) (Transcription factor BTEB5)	KLF14 BTEB5	Homo sapiens (Human)	323	TFs
Q6ZNH5	ZN497_HUMAN	reviewed	Zinc finger protein 497	ZNF497	Homo sapiens (Human)	498	TFs
Q8TAU3	ZN417_HUMAN	reviewed	Zinc finger protein 417	ZNF417	Homo sapiens (Human)	575	TFs
Q9ULM2	ZN490_HUMAN	reviewed	Zinc finger protein 490	ZNF490 KIAA1198	Homo sapiens (Human)	529	TFs
Q8TF39	ZN483_HUMAN	reviewed	Zinc finger protein 483 (Zinc finger protein with KRAB and SCAN domains 16)	ZNF483 KIAA1962 ZKSCAN16	Homo sapiens (Human)	744	TFs
Q13127	REST_HUMAN	reviewed	RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor)	REST NRSF XBR	Homo sapiens (Human)	1097	TFs
Q01101	INSM1_HUMAN	reviewed	Insulinoma-associated protein 1 (Zinc finger protein IA-1)	INSM1 IA1	Homo sapiens (Human)	510	TFs
Q8N895	ZN366_HUMAN	reviewed	Zinc finger protein 366 (Dendritic cell-specific transcript protein) (DC-SCRIPT)	ZNF366	Homo sapiens (Human)	744	TFs
Q9H0D2	ZN541_HUMAN	reviewed	Zinc finger protein 541	ZNF541	Homo sapiens (Human)	1346	TFs
Q8N8L2	ZN491_HUMAN	reviewed	Zinc finger protein 491	ZNF491	Homo sapiens (Human)	437	TFs
Q9C0F3	ZN436_HUMAN	reviewed	Zinc finger protein 436	ZNF436 KIAA1710	Homo sapiens (Human)	470	TFs
P10072	HKR1_HUMAN	reviewed	Krueppel-related zinc finger protein 1 (Protein HKR1) (Zinc finger protein 875)	HKR1 ZNF875	Homo sapiens (Human)	659	TFs
A6NNF4	ZN726_HUMAN	reviewed	Zinc finger protein 726	ZNF726	Homo sapiens (Human)	738	TFs
Q06889	EGR3_HUMAN	reviewed	Early growth response protein 3 (EGR-3) (Zinc finger protein pilot)	EGR3 PILOT	Homo sapiens (Human)	387	TFs
Q9BQA5	HINFP_HUMAN	reviewed	Histone H4 transcription factor (Histone nuclear factor P) (HiNF-P) (MBD2-interacting zinc finger protein) (Methyl-CpG-binding protein 2-interacting zinc finger protein)	HINFP MIZF ZNF743	Homo sapiens (Human)	517	TFs
Q8N8E2	ZN513_HUMAN	reviewed	Zinc finger protein 513	ZNF513	Homo sapiens (Human)	541	TFs
Q15935	ZNF77_HUMAN	reviewed	Zinc finger protein 77 (ZNFpT1)	ZNF77	Homo sapiens (Human)	545	TFs
Q7Z3I7	ZN572_HUMAN	reviewed	Zinc finger protein 572	ZNF572	Homo sapiens (Human)	529	TFs
Q8IZC7	ZN101_HUMAN	reviewed	Zinc finger protein 101 (Zinc finger protein HZF12)	ZNF101	Homo sapiens (Human)	436	TFs
Q9UK33	ZN580_HUMAN	reviewed	Zinc finger protein 580 (LDL-induced EC protein)	ZNF580	Homo sapiens (Human)	172	TFs
Q8NCA9	ZN784_HUMAN	reviewed	Zinc finger protein 784	ZNF784	Homo sapiens (Human)	323	TFs
Q8NAF0	ZN579_HUMAN	reviewed	Zinc finger protein 579	ZNF579	Homo sapiens (Human)	562	TFs
Q96NJ6	ZFP3_HUMAN	reviewed	Zinc finger protein 3 homolog (Zfp-3) (Zinc finger protein 752)	ZFP3 ZNF752	Homo sapiens (Human)	502	TFs
Q86WZ6	ZN227_HUMAN	reviewed	Zinc finger protein 227	ZNF227	Homo sapiens (Human)	799	TFs
Q86TJ5	ZN554_HUMAN	reviewed	Zinc finger protein 554	ZNF554	Homo sapiens (Human)	538	TFs
Q96GC6	ZN274_HUMAN	reviewed	Neurotrophin receptor-interacting factor homolog (Zinc finger protein 274) (Zinc finger protein HFB101) (Zinc finger protein with KRAB and SCAN domains 19) (Zinc finger protein zfp2) (Zf2)	ZNF274 ZKSCAN19 SP2114	Homo sapiens (Human)	653	TFs
Q68DI1	ZN776_HUMAN	reviewed	Zinc finger protein 776	ZNF776	Homo sapiens (Human)	518	TFs
Q8TAW3	ZN671_HUMAN	reviewed	Zinc finger protein 671	ZNF671	Homo sapiens (Human)	534	TFs
Q8NAM6	ZSCA4_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 4 (Zinc finger protein 494)	ZSCAN4 ZNF494	Homo sapiens (Human)	433	TFs
Q6ZNG0	ZN620_HUMAN	reviewed	Zinc finger protein 620	ZNF620	Homo sapiens (Human)	422	TFs
Q9UL36	ZN236_HUMAN	reviewed	Zinc finger protein 236	ZNF236	Homo sapiens (Human)	1845	TFs
Q8N823	ZN611_HUMAN	reviewed	Zinc finger protein 611	ZNF611	Homo sapiens (Human)	705	TFs
Q08ER8	ZN543_HUMAN	reviewed	Zinc finger protein 543	ZNF543	Homo sapiens (Human)	600	TFs
Q9Y2L8	ZKSC5_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 5 (Zinc finger protein 95 homolog) (Zfp-95)	ZKSCAN5 KIAA1015 ZFP95	Homo sapiens (Human)	839	TFs
P17029	ZKSC1_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)	ZKSCAN1 KOX18 ZNF139 ZNF36	Homo sapiens (Human)	563	TFs
Q7L3S4	ZN771_HUMAN	reviewed	Zinc finger protein 771 (Mesenchymal stem cell protein DSC43)	ZNF771	Homo sapiens (Human)	317	TFs
Q96MX3	ZNF48_HUMAN	reviewed	Zinc finger protein 48 (Zinc finger protein 553)	ZNF48 ZNF553	Homo sapiens (Human)	618	TFs
Q86Y25	Z354C_HUMAN	reviewed	Zinc finger protein 354C (Kidney, ischemia, and developmentally-regulated protein 3) (hKID3)	ZNF354C KID3	Homo sapiens (Human)	554	TFs
Q8N9Z0	ZN610_HUMAN	reviewed	Zinc finger protein 610	ZNF610	Homo sapiens (Human)	462	TFs
Q6AZW8	ZN660_HUMAN	reviewed	Zinc finger protein 660	ZNF660	Homo sapiens (Human)	331	TFs
Q9H4Z2	ZN335_HUMAN	reviewed	Zinc finger protein 335 (NRC-interacting factor 1) (NIF-1)	ZNF335	Homo sapiens (Human)	1342	TFs
Q6DJT9	PLAG1_HUMAN	reviewed	Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)	PLAG1	Homo sapiens (Human)	500	TFs
Q8N9F8	ZN454_HUMAN	reviewed	Zinc finger protein 454	ZNF454	Homo sapiens (Human)	522	TFs
Q9GZU2	PEG3_HUMAN	reviewed	Paternally-expressed gene 3 protein (Zinc finger and SCAN domain-containing protein 24)	PEG3 KIAA0287 ZSCAN24	Homo sapiens (Human)	1588	TFs
Q8IX07	FOG1_HUMAN	reviewed	Zinc finger protein ZFPM1 (Friend of GATA protein 1) (FOG-1) (Friend of GATA 1) (Zinc finger protein 89A) (Zinc finger protein multitype 1)	ZFPM1 FOG1 ZFN89A	Homo sapiens (Human)	1006	TFs
Q96LW1	Z354B_HUMAN	reviewed	Zinc finger protein 354B	ZNF354B	Homo sapiens (Human)	612	TFs
Q8N7M2	ZN283_HUMAN	reviewed	Zinc finger protein 283 (Zinc finger protein HZF19)	ZNF283	Homo sapiens (Human)	679	TFs
Q76KX8	ZN534_HUMAN	reviewed	Zinc finger protein 534 (KRAB domain only protein 3)	ZNF534 KRBO3	Homo sapiens (Human)	674	TFs
Q3KNW1	SNAI3_HUMAN	reviewed	Zinc finger protein SNAI3 (Protein snail homolog 3) (Zinc finger protein 293)	SNAI3 ZNF293	Homo sapiens (Human)	292	TFs
Q9NQZ8	ZNF71_HUMAN	reviewed	Endothelial zinc finger protein induced by tumor necrosis factor alpha (Zinc finger protein 71)	ZNF71 EZFIT	Homo sapiens (Human)	489	TFs
Q9H7X3	ZN696_HUMAN	reviewed	Zinc finger protein 696	ZNF696	Homo sapiens (Human)	374	TFs
Q6ZS27	ZN662_HUMAN	reviewed	Zinc finger protein 662	ZNF662	Homo sapiens (Human)	426	TFs
P08047	SP1_HUMAN	reviewed	Transcription factor Sp1	SP1 TSFP1	Homo sapiens (Human)	785	TFs
Q86W11	ZSC30_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 30 (ZNF-WYM) (Zinc finger protein 397 opposite strand) (Zinc finger protein 397OS)	ZSCAN30 ZNF397OS	Homo sapiens (Human)	494	TFs
Q03923	ZNF85_HUMAN	reviewed	Zinc finger protein 85 (Zinc finger protein HPF4) (Zinc finger protein HTF1)	ZNF85	Homo sapiens (Human)	595	TFs
Q96BV0	ZN775_HUMAN	reviewed	Zinc finger protein 775	ZNF775	Homo sapiens (Human)	537	TFs
P19544	WT1_HUMAN	reviewed	Wilms tumor protein (WT33)	WT1	Homo sapiens (Human)	449	TFs
Q8NF99	ZN397_HUMAN	reviewed	Zinc finger protein 397 (Zinc finger and SCAN domain-containing protein 15) (Zinc finger protein 47)	ZNF397 ZNF47 ZSCAN15	Homo sapiens (Human)	534	TFs
Q13422	IKZF1_HUMAN	reviewed	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens (Human)	519	TFs
Q63HK3	ZKSC2_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 2 (Zinc finger protein 694)	ZKSCAN2 ZNF694	Homo sapiens (Human)	967	TFs
Q9BWW7	SCRT1_HUMAN	reviewed	Transcriptional repressor scratch 1 (Scratch homolog 1 zinc finger protein) (SCRT) (Scratch 1) (hScrt)	SCRT1	Homo sapiens (Human)	348	TFs
Q5FWF6	ZN789_HUMAN	reviewed	Zinc finger protein 789	ZNF789	Homo sapiens (Human)	425	TFs
P10073	ZSC22_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 22 (Krueppel-related zinc finger protein 2) (Protein HKR2) (Zinc finger protein 50)	ZSCAN22 HKR2 ZNF50	Homo sapiens (Human)	491	TFs
Q03936	ZNF92_HUMAN	reviewed	Zinc finger protein 92 (Zinc finger protein HTF12)	ZNF92	Homo sapiens (Human)	586	TFs
Q6P9A1	ZN530_HUMAN	reviewed	Zinc finger protein 530	ZNF530 KIAA1508	Homo sapiens (Human)	599	TFs
Q6ECI4	ZN470_HUMAN	reviewed	Zinc finger protein 470 (Chondrogenesis zinc finger protein 1) (CZF-1)	ZNF470 CZF1	Homo sapiens (Human)	717	TFs
Q9Y467	SALL2_HUMAN	reviewed	Sal-like protein 2 (Zinc finger protein 795) (Zinc finger protein SALL2) (Zinc finger protein Spalt-2) (Sal-2) (hSal2)	SALL2 KIAA0360 SAL2 ZNF795	Homo sapiens (Human)	1007	TFs
P17031	ZNF26_HUMAN	reviewed	Zinc finger protein 26 (Zinc finger protein KOX20)	ZNF26 KOX20	Homo sapiens (Human)	533	TFs
Q96JC4	ZN479_HUMAN	reviewed	Zinc finger protein 479 (Zinc finger protein Kr19) (HKr19)	ZNF479	Homo sapiens (Human)	524	TFs
Q96NL3	ZN599_HUMAN	reviewed	Zinc finger protein 599	ZNF599	Homo sapiens (Human)	588	TFs
O43361	ZN749_HUMAN	reviewed	Zinc finger protein 749	ZNF749	Homo sapiens (Human)	778	TFs
Q3ZCX4	ZN568_HUMAN	reviewed	Zinc finger protein 568	ZNF568	Homo sapiens (Human)	644	TFs
Q8NEP9	ZN555_HUMAN	reviewed	Zinc finger protein 555	ZNF555	Homo sapiens (Human)	628	TFs
Q96H40	ZN486_HUMAN	reviewed	Zinc finger protein 486 (KRAB domain only protein 2)	ZNF486 KRBO2	Homo sapiens (Human)	463	TFs
P17024	ZNF20_HUMAN	reviewed	Zinc finger protein 20 (Zinc finger protein KOX13)	ZNF20 KOX13	Homo sapiens (Human)	532	TFs
Q8N1G0	ZN687_HUMAN	reviewed	Zinc finger protein 687	ZNF687 KIAA1441	Homo sapiens (Human)	1237	TFs
O60765	Z354A_HUMAN	reviewed	Zinc finger protein 354A (Transcription factor 17) (TCF-17) (Zinc finger protein eZNF)	ZNF354A EZNF HKL1 TCF17	Homo sapiens (Human)	605	TFs
Q53GI3	ZN394_HUMAN	reviewed	Zinc finger protein 394 (Zinc finger protein with KRAB and SCAN domains 14)	ZNF394 ZKSCAN14	Homo sapiens (Human)	561	TFs
Q9NZL3	ZN224_HUMAN	reviewed	Zinc finger protein 224 (Bone marrow zinc finger 2) (BMZF-2) (Zinc finger protein 233) (Zinc finger protein 255) (Zinc finger protein 27) (Zinc finger protein KOX22)	ZNF224 BMZF2 KOX22 ZNF233 ZNF255 ZNF27	Homo sapiens (Human)	707	TFs
Q6AW86	Z324B_HUMAN	reviewed	Zinc finger protein 324B	ZNF324B	Homo sapiens (Human)	544	TFs
Q8NEK5	ZN548_HUMAN	reviewed	Zinc finger protein 548	ZNF548	Homo sapiens (Human)	533	TFs
O95125	ZN202_HUMAN	reviewed	Zinc finger protein 202 (Zinc finger protein with KRAB and SCAN domains 10)	ZNF202 ZKSCAN10	Homo sapiens (Human)	648	TFs
O14753	OVOL1_HUMAN	reviewed	Putative transcription factor Ovo-like 1 (hOvo1)	OVOL1	Homo sapiens (Human)	267	TFs
Q9HCE3	ZN532_HUMAN	reviewed	Zinc finger protein 532	ZNF532 KIAA1629	Homo sapiens (Human)	1301	TFs
Q9UDV6	ZN212_HUMAN	reviewed	Zinc finger protein 212 (Zinc finger protein C2H2-150)	ZNF212 ZNFC150	Homo sapiens (Human)	495	TFs
Q8TAQ5	ZN420_HUMAN	reviewed	Zinc finger protein 420	ZNF420	Homo sapiens (Human)	688	TFs
Q9H165	BC11A_HUMAN	reviewed	B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856)	BCL11A CTIP1 EVI9 KIAA1809 ZNF856	Homo sapiens (Human)	835	TFs
Q8N0Y2	ZN444_HUMAN	reviewed	Zinc finger protein 444 (Endothelial zinc finger protein 2) (EZF-2) (Zinc finger and SCAN domain-containing protein 17)	ZNF444 EZF2 ZSCAN17	Homo sapiens (Human)	327	TFs
Q96JP5	ZFP91_HUMAN	reviewed	E3 ubiquitin-protein ligase ZFP91 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZFP91) (Zinc finger protein 757) (Zinc finger protein 91 homolog) (Zfp-91)	ZFP91 ZNF757 FKSG11	Homo sapiens (Human)	570	TFs
Q9UC06	ZNF70_HUMAN	reviewed	Zinc finger protein 70 (Zinc finger protein N27C7-1)	ZNF70	Homo sapiens (Human)	446	TFs
Q6P9G9	ZN449_HUMAN	reviewed	Zinc finger protein 449 (Zinc finger and SCAN domain-containing protein 19)	ZNF449 ZSCAN19	Homo sapiens (Human)	518	TFs
Q8N7K0	ZN433_HUMAN	reviewed	Zinc finger protein 433	ZNF433	Homo sapiens (Human)	673	TFs
Q86UE3	ZN546_HUMAN	reviewed	Zinc finger protein 546 (Zinc finger protein 49)	ZNF546 ZNF49	Homo sapiens (Human)	836	TFs
Q8TBZ8	ZN564_HUMAN	reviewed	Zinc finger protein 564	ZNF564	Homo sapiens (Human)	553	TFs
P17017	ZNF14_HUMAN	reviewed	Zinc finger protein 14 (Gonadotropin-inducible ovary transcription repressor 4) (GIOT-4) (Zinc finger protein KOX6)	ZNF14 GIOT4 KOX6	Homo sapiens (Human)	642	TFs
P16415	ZN823_HUMAN	reviewed	Zinc finger protein 823 (Zinc finger protein ZFP-36)	ZNF823 ZFP36	Homo sapiens (Human)	610	TFs
Q3SY56	SP6_HUMAN	reviewed	Transcription factor Sp6 (Krueppel-like factor 14)	SP6 KLF14	Homo sapiens (Human)	376	TFs
Q68DY9	ZN772_HUMAN	reviewed	Zinc finger protein 772	ZNF772	Homo sapiens (Human)	489	TFs
Q8IW36	ZN695_HUMAN	reviewed	Zinc finger protein 695 (Zinc finger protein SBZF3)	ZNF695	Homo sapiens (Human)	515	TFs
Q8IZ26	ZNF34_HUMAN	reviewed	Zinc finger protein 34 (Zinc finger protein KOX32)	ZNF34 KOX32	Homo sapiens (Human)	560	TFs
P35789	ZNF93_HUMAN	reviewed	Zinc finger protein 93 (Zinc finger protein 505) (Zinc finger protein HTF34)	ZNF93 ZNF505	Homo sapiens (Human)	620	TFs
O75820	ZN189_HUMAN	reviewed	Zinc finger protein 189	ZNF189	Homo sapiens (Human)	626	TFs
Q6ZQV5	ZN788_HUMAN	reviewed	Putative KRAB domain-containing protein ZNF788 (Zinc finger family member 788, pseudogene)	ZNF788P ZNF788	Homo sapiens (Human)	82	TFs
Q96BR6	ZN669_HUMAN	reviewed	Zinc finger protein 669	ZNF669	Homo sapiens (Human)	464	TFs
Q9UKS7	IKZF2_HUMAN	reviewed	Zinc finger protein Helios (Ikaros family zinc finger protein 2)	IKZF2 HELIOS ZNFN1A2	Homo sapiens (Human)	526	TFs
Q3KP31	ZN791_HUMAN	reviewed	Zinc finger protein 791	ZNF791	Homo sapiens (Human)	576	TFs
Q9UII5	ZN107_HUMAN	reviewed	Zinc finger protein 107 (Zinc finger protein 588) (Zinc finger protein ZFD25)	ZNF107 ZFD25 ZNF588	Homo sapiens (Human)	783	TFs
Q9Y2G7	ZFP30_HUMAN	reviewed	Zinc finger protein 30 homolog (Zfp-30) (Zinc finger protein 745)	ZFP30 KIAA0961 ZNF745	Homo sapiens (Human)	519	TFs
Q8WXB4	ZN606_HUMAN	reviewed	Zinc finger protein 606 (Zinc finger protein 328)	ZNF606 KIAA1852 ZNF328	Homo sapiens (Human)	792	TFs
Q5T619	ZN648_HUMAN	reviewed	Zinc finger protein 648	ZNF648	Homo sapiens (Human)	568	TFs
P52737	ZN136_HUMAN	reviewed	Zinc finger protein 136	ZNF136	Homo sapiens (Human)	540	TFs
Q9UKT9	IKZF3_HUMAN	reviewed	Zinc finger protein Aiolos (Ikaros family zinc finger protein 3)	IKZF3 ZNFN1A3	Homo sapiens (Human)	509	TFs
Q5HYK9	ZN667_HUMAN	reviewed	Zinc finger protein 667	ZNF667	Homo sapiens (Human)	610	TFs
Q5VTD9	GFI1B_HUMAN	reviewed	Zinc finger protein Gfi-1b (Growth factor independent protein 1B) (Potential regulator of CDKN1A translocated in CML)	GFI1B	Homo sapiens (Human)	330	TFs
Q6ZNG1	ZN600_HUMAN	reviewed	Zinc finger protein 600	ZNF600	Homo sapiens (Human)	722	TFs
Q96SQ5	ZN587_HUMAN	reviewed	Zinc finger protein 587	ZNF587	Homo sapiens (Human)	575	TFs
O14709	ZN197_HUMAN	reviewed	Zinc finger protein 197 (Zinc finger protein with KRAB and SCAN domains 9) (ZnF20) (pVHL-associated KRAB domain-containing protein)	ZNF197 ZKSCAN9 ZNF166	Homo sapiens (Human)	1029	TFs
Q6NX45	ZN774_HUMAN	reviewed	Zinc finger protein 774	ZNF774	Homo sapiens (Human)	483	TFs
Q86UQ0	ZN589_HUMAN	reviewed	Zinc finger protein 589 (Stem cell zinc finger protein 1)	ZNF589 SZF1	Homo sapiens (Human)	364	TFs
Q9BS31	ZN649_HUMAN	reviewed	Zinc finger protein 649	ZNF649	Homo sapiens (Human)	505	TFs
P17038	ZNF43_HUMAN	reviewed	Zinc finger protein 43 (Zinc finger protein 39) (Zinc finger protein HTF6) (Zinc finger protein KOX27)	ZNF43 KOX27 ZNF39 ZNF39L1	Homo sapiens (Human)	809	TFs
Q8N9K5	ZN565_HUMAN	reviewed	Zinc finger protein 565	ZNF565	Homo sapiens (Human)	539	TFs
Q96SK3	ZN607_HUMAN	reviewed	Zinc finger protein 607	ZNF607	Homo sapiens (Human)	696	TFs
Q96ME7	ZN512_HUMAN	reviewed	Zinc finger protein 512	ZNF512 KIAA1805	Homo sapiens (Human)	567	TFs
O15090	ZN536_HUMAN	reviewed	Zinc finger protein 536	ZNF536 KIAA0390	Homo sapiens (Human)	1300	TFs
P52738	ZN140_HUMAN	reviewed	Zinc finger protein 140	ZNF140	Homo sapiens (Human)	457	TFs
P15621	ZNF44_HUMAN	reviewed	Zinc finger protein 44 (Gonadotropin-inducible ovary transcription repressor 2) (GIOT-2) (Zinc finger protein 55) (Zinc finger protein 58) (Zinc finger protein KOX7)	ZNF44 GIOT2 KOX7 ZNF55 ZNF58	Homo sapiens (Human)	663	TFs
Q6IQ21	ZN770_HUMAN	reviewed	Zinc finger protein 770	ZNF770	Homo sapiens (Human)	691	TFs
Q6PG37	ZN790_HUMAN	reviewed	Zinc finger protein 790	ZNF790	Homo sapiens (Human)	636	TFs
P17019	ZN708_HUMAN	reviewed	Zinc finger protein 708 (Zinc finger protein 15) (Zinc finger protein 15-like 1) (Zinc finger protein KOX8)	ZNF708 KOX8 ZNF15 ZNF15L1	Homo sapiens (Human)	499	TFs
Q6P3V2	Z585A_HUMAN	reviewed	Zinc finger protein 585A	ZNF585A	Homo sapiens (Human)	769	TFs
O75437	ZN254_HUMAN	reviewed	Zinc finger protein 254 (Bone marrow zinc finger 5) (BMZF-5) (Hematopoietic cell-derived zinc finger protein 1) (HD-ZNF1) (Zinc finger protein 539) (Zinc finger protein 91-like)	ZNF254 BMZF5 ZNF539 ZNF91L	Homo sapiens (Human)	659	TFs
Q9C0K0	BC11B_HUMAN	reviewed	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)	BCL11B CTIP2 RIT1	Homo sapiens (Human)	894	TFs
Q0VGE8	ZN816_HUMAN	reviewed	Zinc finger protein 816	ZNF816 ZNF816A	Homo sapiens (Human)	651	TFs
A6NK75	ZNF98_HUMAN	reviewed	Zinc finger protein 98 (Zinc finger protein 739) (Zinc finger protein F7175)	ZNF98 ZNF739	Homo sapiens (Human)	572	TFs
Q8N8Z8	ZN441_HUMAN	reviewed	Zinc finger protein 441	ZNF441	Homo sapiens (Human)	693	TFs
Q8IYN0	ZN100_HUMAN	reviewed	Zinc finger protein 100	ZNF100	Homo sapiens (Human)	542	TFs
Q86V71	ZN429_HUMAN	reviewed	Zinc finger protein 429	ZNF429	Homo sapiens (Human)	674	TFs
Q8N8C0	ZN781_HUMAN	reviewed	Zinc finger protein 781	ZNF781	Homo sapiens (Human)	355	TFs
Q96C28	ZN707_HUMAN	reviewed	Zinc finger protein 707	ZNF707	Homo sapiens (Human)	371	TFs
P98168	ZXDA_HUMAN	reviewed	Zinc finger X-linked protein ZXDA	ZXDA	Homo sapiens (Human)	799	TFs
Q9NQV6	PRD10_HUMAN	reviewed	PR domain zinc finger protein 10 (EC 2.1.1.-) (PR domain-containing protein 10) (Tristanin)	PRDM10 KIAA1231 PFM7 TRIS	Homo sapiens (Human)	1147	TFs
Q6ZN79	Z705A_HUMAN	reviewed	Zinc finger protein 705A	ZNF705A	Homo sapiens (Human)	300	TFs
Q06732	ZN33B_HUMAN	reviewed	Zinc finger protein 33B (Zinc finger protein 11B) (Zinc finger protein KOX2)	ZNF33B KOX2 ZNF11B	Homo sapiens (Human)	778	TFs
Q8TD23	ZN675_HUMAN	reviewed	Zinc finger protein 675 (TRAF6-binding zinc finger protein) (TRAF6-inhibitory zinc finger protein)	ZNF675 TIZ	Homo sapiens (Human)	568	TFs
Q8N4W9	ZN808_HUMAN	reviewed	Zinc finger protein 808	ZNF808	Homo sapiens (Human)	903	TFs
Q14592	ZN460_HUMAN	reviewed	Zinc finger protein 460 (Zinc finger protein 272) (Zinc finger protein HZF8)	ZNF460 ZNF272	Homo sapiens (Human)	562	TFs
Q3MIS6	ZN528_HUMAN	reviewed	Zinc finger protein 528	ZNF528 KIAA1827	Homo sapiens (Human)	628	TFs
Q9UM63	PLAL1_HUMAN	reviewed	Zinc finger protein PLAGL1 (Lost on transformation 1) (LOT-1) (Pleiomorphic adenoma-like protein 1) (Tumor suppressor ZAC)	PLAGL1 LOT1 ZAC	Homo sapiens (Human)	463	TFs
Q9UQR1	ZN148_HUMAN	reviewed	Zinc finger protein 148 (Transcription factor ZBP-89) (Zinc finger DNA-binding protein 89)	ZNF148 ZBP89	Homo sapiens (Human)	794	TFs
Q9Y462	ZN711_HUMAN	reviewed	Zinc finger protein 711 (Zinc finger protein 6)	ZNF711 CMPX1 ZNF6	Homo sapiens (Human)	761	TFs
Q9P2Y4	ZN219_HUMAN	reviewed	Zinc finger protein 219	ZNF219	Homo sapiens (Human)	722	TFs
P17032	ZN37A_HUMAN	reviewed	Zinc finger protein 37A (Zinc finger protein KOX21)	ZNF37A KOX21 ZNF37	Homo sapiens (Human)	561	TFs
Q7L945	ZN627_HUMAN	reviewed	Zinc finger protein 627	ZNF627	Homo sapiens (Human)	461	TFs
Q6ZN57	ZFP2_HUMAN	reviewed	Zinc finger protein 2 homolog (Zfp-2) (Zinc finger protein 751)	ZFP2 ZNF751	Homo sapiens (Human)	461	TFs
